Universidad,Tipo Titulación,Facultad,Titulación,Título,Autor,Año,URL,Archivo Abstract,Palabras Clave,Idioma Abstract
Universidad Autónoma de Madrid,Máster,Facultad de Ciencias,"Máster en ""Química agrícola y nuevos alimentos""",Obtención y caracterización de extractos de Momordica balsamina L.,"Maulide Cane, Réka",2012,https://repositorio.uam.es/handle/10486/11885,abstracts_uam_TFM\RND_Obtenci_n_y_caracterizaci_n_de_2012_2222964.txt,Plantas medicinales; Antioxidantes; Fenoles,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Master Universitario en Ingeniería y Telecomunicaciones,Desarrollo de un potenciostato para la adquisición y tratamiento de la señal de biosensores enzimáticos,"Ortiz Fuentes, Luis",2013,https://repositorio.uam.es/handle/10486/14383,abstracts_uam_TFM\RND_Desarrollo_de_un_potenciostato_2013_3212848.txt,Detectores; Proceso de señales,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Ingeniería Informática y de Telecomunicación,Aceleración del algoritmo Smith-Waterman mediante dispositivos reconfigurables,"Salvador Gradaille, Roberto",2011,https://repositorio.uam.es/handle/10486/12965,abstracts_uam_TFM\RND_Aceleraci_n_del_algoritmo_Smit_2011_56301142.txt,Algoritmos; Biometría,spa
Universidad Autónoma de Madrid,Máster,Facultad de Filosofía y Letras,"Este trabajo fue publicado en la obra que lleva por título ""Másteres UAM: año académico 2009-2010"" (cd-rom) que recoge los trabajos de investigación correspondientes al año académico 2009-2010. ISBN 978483443491",La infancia en Madrid a finales del Antiguo Régimen: Una visión a través de la documentación de la Mesa de Madrid,"Agua de la Roza, Jesús",2010,https://repositorio.uam.es/handle/10486/12352,abstracts_uam_TFM\RND_La_infancia_en_Madrid_a_finale_2010_56912870.txt,Niños; Historiografía,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Ingeniería Informática y de Telecomunicación,Sistema Embebido en un Chip para la monitorización remota de temperaturas,"Soto Solana, Eloy",2013,https://repositorio.uam.es/handle/10486/14102,abstracts_uam_TFM\RND_Sistema_Embebido_en_un_Chip_pa_2013_13112887.txt,Sistemas insertados (Informática); Circuitos lógicos,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Ingeniería Informática y de Telecomunicación,A semantic-based framework for building cross-domain networks: application to item recommendation,"Fernández-Tobías, Ignacio",2013,https://repositorio.uam.es/handle/10486/14106,abstracts_uam_TFM\RND_A_semantic-based_framework_for_2013_15389618.txt,Servicios web; Web semántica,eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en TIC,Uso de códigos QR para la mejora en el acceso y disponibilidad de recursos educativos mediante realidad aumentada,"Hernando Martín, Rubén",2013,https://repositorio.uam.es/handle/10486/14103,abstracts_uam_TFM\RND_Uso_de_c_digos_QR_para_la_mejo_2013_87935518.txt,Enseñanza asistida por ordenador; Teléfonos inteligentes,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,Influencia y recomendación en redes sociales,"Mateos de Miguel, Ana Cristina",2013,https://repositorio.uam.es/handle/10486/14113,abstracts_uam_TFM\RND_Influencia_y_recomendaci_n_en__2013_44297222.txt,Redes sociales; Internet - Aplicaciones en ciencias sociales,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,Algoritmos SVM para problemas sobre big data,"Gala García, Yvonne",2013,https://repositorio.uam.es/handle/10486/14108,abstracts_uam_TFM\RND_Algoritmos_SVM_para_problemas__2013_48318609.txt,Algoritmos; Minería de datos,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Ingeniería Informática y de Telecomunicación,Seguimiento y producción automática mediante cámaras PTZ en entornos de red,"González Huete, Antonio",2013,https://repositorio.uam.es/handle/10486/14110,abstracts_uam_TFM\RND_Seguimiento_y_producci_n_autom_2013_24511371.txt,"Vídeo; Imágenes, Tratamiento de las",spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Matemáticas y Aplicaciones,Aceleración de algoritmos CFD en sistemas heterogéneos PC-FPGA con paradigmas de paralelismo,"Gómez García, Ismael",2013,https://repositorio.uam.es/handle/10486/14104,abstracts_uam_TFM\RND_Aceleraci_n_de_algoritmos_CFD__2013_50293244.txt,Circuitos lógicos; Dinámica de fluidos,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en TIC,Automatic language recognition using deep neural networks,"Lozano Díez, Alicia",2012,https://repositorio.uam.es/handle/10486/14096,abstracts_uam_TFM\RND_Automatic_language_recognition_2012_90764450.txt,Reconocimiento automático de la palabra; Redes neuronales (Informática),eng
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,Análisis de la influencia de topologías de red en redes neuronales basadas en firmas,"Carrillo Medina, José Luis",2013,https://repositorio.uam.es/handle/10486/14109,abstracts_uam_TFM\RND_An_lisis_de_la_influencia_de_t_2013_60214298.txt,Topología; Redes neuronales (Neurobiología),spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster en Ingeniería Informática y de Telecomunicaciónes,Computational enhancement by neural variability,"Montero, Aarón",2013,https://repositorio.uam.es/handle/10486/14105,abstracts_uam_TFM\RND_Computational_enhancement_by_n_2013_2744255.txt,Redes neuronales (Informática); Olfato,eng
Universidad Autónoma de Madrid,Máster,Facultad de Formación de Profesorado y Educación,"Máster en Innovación, Evaluación y Calidad en Educación Física","Descripción de los hábitos de práctica física y uso de videojuegos, en escolares, en función de su nivel de autoeficacia motriz y en videojuegos","Borges Hernández, Pablo José",2012,https://repositorio.uam.es/handle/10486/9332,abstracts_uam_TFM\RND_Descripci_n_de_los_h_bitos_de__2012_93761378.txt,,spa
Universidad Autónoma de Madrid,Máster,Facultad de Derecho,"Este trabajo fue publicado en la obra que lleva por título ""Másteres UAM"" (cd-rom) que recoge los trabajos de investigación correspondientes al año académico 2009-2010. ISBN 978483443491",La regulación europea de la protección de las bases de datos a debate: Reflexiones acerca del futuro de la Directiva 96/9/CE,"Minero Alejandre, Gemma María",2010,https://repositorio.uam.es/handle/10486/13894,abstracts_uam_TFM\RND_La_regulaci_n_europea_de_la_pr_2010_52982481.txt,Propiedad intelectual; Bases de datos,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Ingeniería Informática y de Telecomunicación,Router SpaceWire: Análisis de diseño de un router para el espacio,"Morales López, Carlos",2012,https://repositorio.uam.es/handle/10486/14132,abstracts_uam_TFM\RND_Router_SpaceWire__An_lisis_de__2012_25505769.txt,Routers (Redes de ordenadores); Circuitos lógicos,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Ingeniería Informática y de Telecomunicación,Estimación y comparación de un modelo estadístico a-estable de primer orden basado en flujos netflow respecto al tráfico agregado en redes IP,"Stoppa, Matteo",2013,https://repositorio.uam.es/handle/10486/14133,abstracts_uam_TFM\RND_Estimaci_n_y_comparaci_n_de_un_2013_38519252.txt,Protocolos de comunicaciones,spa
Universidad Autónoma de Madrid,Máster,Escuela Politécnica Superior,Máster Universitario en Investigación e Innovación en Tecnologías de la Información y las Comunicaciones,Evaluación de un Sistema de Detección de Actividad de Voz,"Bourgeat Terán, León Augusto",2013,https://repositorio.uam.es/handle/10486/14099,abstracts_uam_TFM\RND_Evaluaci_n_de_un_Sistema_de_De_2013_69841278.txt,"Voz, Tratamiento automático de la; Segunda materia",spa
