Universidad;Tipo Titulacion;Facultad;titulacion;Título;Autor;Año;URL;Archivo Abstract;Palabras Clave;Idioma Abstract;Categoria
Universidad de Educación a Distancia (UNED);TFG;Facultades y escuelas::Facultad de Psicología;Grado en Psicología;Exploración del proceso de cambio psicológico a través de modelos constructivistas basados en sistemas de restricciones cognitivas y evolución temporal de mapas cognitivos borrosos;Torrecilla Torregrosa, Alejandro;2024;https://e-spacio.uned.es/entities/publication/57819f3c-9da7-463c-a961-dfbae6e1867f/full;abstracts\Exploraci_n_del_proceso_de_cam_2024_29426693.txt;rejilla de implicaciones, mapas cognitivos borrosos, hábitos saludables, SAT Solver, algoritmos de optimización, optimización de colonia de hormigas;es;Ciencias Sociales
Universidad de Educación a Distancia (UNED);TFG;Facultades y escuelas::Facultad de Psicología;Grado en Psicología;Identificación de Conductas Humillantes para la Víctima en Homicidios en Relación de Pareja;Otín Del Castillo, José María;2019;https://e-spacio.uned.es/entities/publication/b7c45bc6-12ea-4393-bd28-77e190d6310b/full;abstracts\Identificaci_n_de_Conductas_Hu_2019_77611742.txt;Humillación, emociones autoconscientes, homicidio, escena del crimen;es;Ciencias Sociales
Universidad de Educación a Distancia (UNED);TFG;Facultades y escuelas::Facultad de Psicología;Grado en Psicología;Evaluación psicológica para la incorporación de hábitos saludables mediante el uso de Mapas Cognitivos Borrosos y las herramientas de “PsychLab Psychological Change Lab (s.f.). PsychLab. https://psychlab.uned.es/” desarrollado por el Grupo de Investigación Constructivista de la UNED (GICUNED);Gil Morente, Francisco;2024;https://e-spacio.uned.es/entities/publication/f5fbb94f-4d3d-49cb-b033-deb66c45d999/full;abstracts\Evaluaci_n_psicol_gica_para_la_2024_86783977.txt;promoción de la salud, sistema de anticipación de causas y consecuencias,, mapas cognitivos borrosos, gridFCM, https://psychlab.uned.es/;es;Ciencias Sociales
Universidad de Educación a Distancia (UNED);TFG;Facultades y escuelas::Facultad de Psicología;Grado en Psicología;Narrativas personales en niños españoles. Una adaptación del protocolo Global TALES incluyendo emociones autoconscientes;Larrañaga Caravaca, Cristina;2024;https://e-spacio.uned.es/entities/publication/51d07018-2c14-4f0b-9a58-49bc0da3e832/full;abstracts\Narrativas_personales_en_ni_os_2024_54828620.txt;narrativas personales, GLOBAL TALES, identidad personal, emociones autoconscientes, personal narratives, personal identity, self-conscious emotions;es;Ciencias Sociales
Universidad de Educación a Distancia (UNED);TFG;Facultades y escuelas::Facultad de Psicología;Grado en Sociología;Desnutrición y rehabilitación nutricional: efectos sexualmente diferenciales en el locus coeruleus de la rata;Herrán Alonso, Juan;2010;https://e-spacio.uned.es/entities/publication/7a2907c2-14fe-40e5-ac6b-56f013a61d63/full;abstracts\Desnutrici_n_y_rehabilitaci_n__2010_26387094.txt;desnutrición, rehabilitación nutricional, dimorfismo sexual, desarrollo sistema nervioso, locus coeruleus, malnutrition, nutritional rehabilitation, sexual dimorphism, nervous system development;es;Ciencias Sociales
Universidad de Educación a Distancia (UNED);TFG;Facultades y escuelas::Facultad de Geografía e Historia;Grado en Geografía e Historia;El ramo del género de punto en Mataró durante la década de 1920. Una aproximación microeconómica;Masachs Dedeu, Ramon;2021;https://e-spacio.uned.es/entities/publication/fd04aa9b-2bd8-4701-aecb-c05ee4b21e0a/full;abstracts\El_ramo_del_g_nero_de_punto_en_2021_41883288.txt;;es;Geografía e Historia
Universidad de Educación a Distancia (UNED);TFG;Facultades y escuelas::Facultad de Geografía e Historia;Grado en Geografía e Historia;Las técnicas de digitalización y diseño 3D aplicadas a la Epigrafía;Serrano Basterra, Pablo;2023;https://e-spacio.uned.es/entities/publication/92002026-bcc8-4f5e-81b7-fff2cc99b226/full;abstracts\Las_t_cnicas_de_digitalizaci_n_2023_38094556.txt;Epigrafía, Virtualización Patrimonial, Arqueología Virtual, digitalización, diseño 3D;es;Geografía e Historia
Universidad de Educación a Distancia (UNED);TFG;Facultades y escuelas::Facultad de Geografía e Historia;Grado en Geografía e Historia;Orígenes y modos de vida de los primeros grupos humanos en el actual territorio valenciano;Jordá Esteve, Manuel;2023;https://e-spacio.uned.es/entities/publication/4122d399-b9c9-45f1-aaaf-6c8fcb8bd7ae/full;abstracts\Or_genes_y_modos_de_vida_de_lo_2023_37746124.txt;cazadores-recolectores, Cuaternario, Pleistoceno medio, Pleistoceno superior, Holoceno, Paleoambiente, Paleolítico inferior, Paleolítico medio, Paleolítico superior, Epipaleolítico, Homo neanderthalensis, Homo sapiens, primer poblamiento, tecnología, hábitat;es;Geografía e Historia
Universidad de Educación a Distancia (UNED);TFG;Facultades y escuelas::Facultad de Geografía e Historia;Grado en Geografía e Historia;Condenadas a muerte en los Consejos de Guerra Sumarísimos de Urgencia de 1937 en la provincia de Cádiz;Roldán de los Reyes, Beatriz;2020;https://e-spacio.uned.es/entities/publication/40e17598-6f58-4412-85b7-d25d68b89462/full;abstracts\Condenadas_a_muerte_en_los_Con_2020_88211692.txt;;es;Geografía e Historia
Universidad de Educación a Distancia (UNED);TFG;Facultades y escuelas::Facultad de Geografía e Historia;Grado en Geografía e Historia;Represión femenina en Caspe durante el primer franquismo: una aproximación a través de los sumarios militares;Barceló Gresa, Amadeo;2018;https://e-spacio.uned.es/entities/publication/cd4bc6d4-32ed-4a96-8b21-c1076d371d53/full;abstracts\Represi_n_femenina_en_Caspe_du_2018_493589.txt;;es;Geografía e Historia
